runtime 600000000
File: input.dat
Author: Noam Bergman, N.Bergman@uea.ac.uk
This is the default input file for version 5.
It consists of data for the forcings U, D, W and E for the past 550my,
at 1my intervals, and starts at 600MyBP for a 50my spin up.
Note the file consists of the magic number 'runtime' followed by
the time in the past when the model is to start running (600MyBP).
All the text (including this) following the first line is ignored by
the program when it reads datafiles, until it reaches a line starting
with a number, i.e., the line after next.
time_yBP_	U	D	W	E
600000000	1.048	1.2	0	0
550000000	1.048	1.2	0	0
549000000	1.047	1.22		
548000000	1.047	1.24		
547000000	1.049	1.25		
546000000	1.052	1.27		
545000000	1.056	1.29		
544000000	1.06	1.31		
543000000	1.064	1.33		
542000000	1.069	1.34		
541000000	1.074	1.36		
540000000	1.078	1.38		
539000000	1.083	1.4		
538000000	1.089	1.42		
537000000	1.094	1.45		
536000000	1.1	1.47
535000000	1.105	1.49
534000000	1.111	1.51
533000000	1.117	1.53
532000000	1.123	1.56
531000000	1.128	1.58
530000000	1.134	1.6
529000000	1.139	1.61
528000000	1.143	1.62
527000000	1.146	1.63
526000000	1.149	1.64
525000000	1.152	1.65
524000000	1.155	1.66
523000000	1.157	1.67
522000000	1.16	1.68
521000000	1.163	1.69
520000000	1.165	1.7
519000000	1.166	1.69
518000000	1.166	1.68
517000000	1.164	1.67
516000000	1.163	1.66
515000000	1.137	1.66
514000000	1.135	1.65
513000000	1.133	1.64
512000000	1.131	1.63
511000000	1.128	1.62
510000000	1.126	1.61
509000000	1.117	1.6
508000000	1.121	1.6
507000000	1.126	1.59
506000000	1.129	1.58
505000000	1.132	1.58
504000000	1.134	1.57
503000000	1.136	1.56
502000000	1.137	1.55
501000000	1.137	1.55
500000000	1.137	1.54
499000000	1.137	1.54
498000000	1.136	1.54
497000000	1.135	1.53
496000000	1.133	1.53
495000000	1.131	1.53
494000000	1.128	1.53
493000000	1.124	1.53
492000000	1.12	1.52
491000000	1.115	1.52
490000000	1.11	1.52
489000000	1.106	1.52
488000000	1.101	1.52
487000000	1.096	1.51
486000000	1.092	1.51
485000000	1.089	1.51
484000000	1.086	1.51
483000000	1.085	1.51
482000000	1.083	1.5
481000000	1.082	1.5
480000000	1.08	1.5
479000000	1.078	1.5
478000000	1.077	1.5
477000000	1.075	1.51
476000000	1.074	1.51
475000000	1.073	1.51
474000000	1.073	1.51
473000000	1.073	1.51
472000000	1.075	1.52		
471000000	1.076	1.52		
470000000	1.076	1.52		
469000000	1.076	1.52		
468000000	1.074	1.52		
467000000	1.07	1.53		
466000000	1.065	1.53	0	0
465000000	1.059	1.53	0.002	0.002
464000000	1.051	1.53	0.003	0.003
463000000	1.039	1.53	0.003	0.003
462000000	1.024	1.54	0.004	0.004
461000000	1.011	1.54	0.005	0.005
460000000	0.997	1.54	0.006	0.006
459000000	0.979	1.54	0.006	0.006
458000000	0.96	1.54	0.007	0.007
457000000	0.943	1.54	0.008	0.008
456000000	0.928	1.54	0.008	0.008
455000000	0.912	1.55	0.009	0.009
454000000	0.899	1.55	0.010	0.010
453000000	0.887	1.55	0.011	0.011
452000000	0.876	1.55	0.011	0.011
451000000	0.867	1.55	0.012	0.012
450000000	0.859	1.55	0.013	0.013
449000000	0.853	1.55	0.014	0.014
448000000	0.849	1.55	0.014	0.014
447000000	0.846	1.56	0.015	0.015
446000000	0.843	1.56	0.016	0.016
445000000	0.841	1.56	0.016	0.016
444000000	0.839	1.56	0.017	0.017
443000000	0.837	1.56	0.018	0.018
442000000	0.836	1.57	0.019	0.019
441000000	0.836	1.57	0.019	0.019
440000000	0.837	1.57	0.02	0.02
439000000	0.839	1.57	0.02	0.02
